targetname,datetime,tdb_utc_offset,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,lighttime,range,range_rate
,iso_utc,s,m,m,m,m/s,m/s,m/s,s,m,m/s
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:17:50.818,69.18236464262009,-15841314.707237272,8275233.762328085,-20108459.336338166,-301.0679736461454,-3609.538334889002,-1226.7177400699406,0.08973908784491832,26903101.723705977,-16.09692397473664
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:18:50.818,69.18236464262009,-15858795.327632185,8058359.119173333,-20181320.40771526,-281.60250803205764,-3619.5680063424475,-1201.9730378660408,0.08973582394459227,26902123.231004577,-16.52283391623492
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:19:50.818,69.18236464262009,-15875107.330748467,7840890.657972487,-20252694.044579547,-262.11417449983816,-3629.332029247005,-1177.1370539542959,0.08973247491493049,26901119.217170347,-16.947560573711243
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:20:50.818,69.18236464262009,-15890249.385703875,7622844.340281313,-20322574.82214241,-242.60434847128013,-3638.829653473029,-1152.211527858713,0.08972904099569005,26900089.754080717,-17.37107379150084
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:21:50.818,69.18236464262009,-15904220.244202822,7404236.172154642,-20390957.42018755,-223.0744073881179,-3648.060145909601,-1127.1982057219484,0.08972552243266017,26899034.91542134,-17.79334348279926
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:22:50.818,69.18236464262009,-15917018.740655432,7185082.203124002,-20457836.623465538,-203.52573064014712,-3657.022790520419,-1102.0988402181076,0.08972191947764761,26897954.77668206,-18.214339631285238
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:23:50.818,69.18236464262009,-15928643.792292282,6965398.525171582,-20523207.3220829,-183.95969949306516,-3665.7168883993186,-1076.9151904651012,0.08971823238846295,26896849.415152516,-18.634032292756082
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:24:50.818,69.18236464262009,-15939094.399274869,6745201.271699912,-20587064.511886455,-164.37769701600064,-3674.141757825463,-1051.6490219364719,0.0897144614289057,26895718.90991784,-19.05239159676191
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:25:50.818,69.18236464262009,-15948369.644801563,6524506.6165000275,-20649403.294841845,-144.7811080089804,-3682.2967343180826,-1026.3021063730016,0.08971060686874974,26894563.34185417,-19.46938774822756
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:26:50.818,69.18236464262009,-15956468.695209438,6303330.772714673,-20710218.879406992,-125.17131892995792,-3690.1811706908884,-1000.8762216937215,0.08970666898372773,26893382.793624092,-19.884991029098813
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:27:50.818,69.18236464262009,-15963390.800071437,6081689.991799185,-20769506.5809002,-105.54971782171553,-3697.7944371060694,-975.3731519065902,0.08970264805551582,26892177.349672027,-20.29917179996319
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:28:50.818,69.18236464262009,-15969135.292289345,5859600.5624789735,-20827261.82186277,-85.91769423850374,-3705.1359211279087,-949.7946870186939,0.0896985443717177,26890947.09621933,-20.711900501700836
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:29:50.818,69.18236464262009,-15973701.588182298,5637078.809703594,-20883480.132416327,-66.27663917237064,-3712.205027775997,-924.1426229460333,0.0896943582258486,26889692.12125968,-21.123147657107555
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:30:50.818,69.18236464262009,-15977089.187570877,5414141.093597885,-20938157.15061464,-46.62794497930389,-3719.0011795780583,-898.4187614228465,0.08969008991731811,26888412.514553823,-21.53288387254448
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:31:50.818,69.18236464262009,-15979297.673856651,5190803.808409676,-20991288.622790124,-26.973005305065087,-3725.5238166223517,-872.6249099104697,0.08968573975141424,26887108.367624782,-21.94107983956914
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:32:50.818,69.18236464262009,-15980326.714097429,4967083.381454828,-21042870.403894518,-7.31321501078949,-3731.7723966096787,-846.762881505811,0.0896813080392854,26885779.773752533,-22.347706336582768
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:33:50.818,69.18236464262009,-15980176.059077937,4742996.272058496,-21092898.457834598,12.350029901701973,-3737.746394904975,-820.8344948492489,0.08967679509792346,26884426.827968825,-22.752734230470548
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:34:50.818,69.18236464262009,-15978845.543376023,4518558.970493829,-21141368.857801743,32.01533236485104,-3743.4453045884893,-794.8415740321647,0.08967220125014534,26883049.627051756,-23.156134478246916
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:35:50.818,69.18236464262009,-15976335.085424326,4293787.996917761,-21188277.78659645,51.681294320530796,-3748.868636506499,-768.7859485039794,0.08966752682457559,26881648.269520447,-23.557878128700146
